series,subseries,date,url,pdf,author,description,keyword,file_name
Accidents & Fatalities,Accident Investigations,2005-01-05,https://railroads.dot.gov/elibrary/hq-2005-01-finalized,True,,"{'Accident Date': 'January 5, 2005', 'Accident Type': 'Other Impact Accident (OTI)', 'Railroad Name': 'CSX Transportation (CSX)', 'Location': 'Glenco, KY\nUnited States', 'Accident Number': 'HQ-2005-01', 'Investigation Status': 'Finalized'}",,hq200501.pdf
Accidents & Fatalities,Accident Investigations,2005-01-06,https://railroads.dot.gov/elibrary/hq-2005-02-finalized,True,,"{'Accident Date': 'January 6, 2005', 'Accident Type': 'Head End Collision (HEC)', 'Railroad Name': 'Norfolk Southern (NS)', 'Location': 'GRANITEVILLE, SC\nUnited States', 'Accident Number': 'HQ-2005-02', 'Investigation Status': 'Finalized'}",,hq200502.pdf
Accidents & Fatalities,Accident Investigations,2005-01-08,https://railroads.dot.gov/elibrary/hq-2005-05-finalized,True,,"{'Accident Date': 'January 8, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'BAYPORT, TX\nUnited States', 'Accident Number': 'HQ-2005-05', 'Investigation Status': 'Finalized'}",,hq200505.pdf
Accidents & Fatalities,Accident Investigations,2005-01-08,https://railroads.dot.gov/elibrary/hq-2005-04-finalized,True,,"{'Accident Date': 'January 8, 2005', 'Accident Type': 'Rear End Collision (REC)', 'Railroad Name': 'BNSF Railway (BNSF)', 'Location': 'Temple, TX\nUnited States', 'Accident Number': 'HQ-2005-04', 'Investigation Status': 'Finalized'}",,hq200504.pdf
Accidents & Fatalities,Accident Investigations,2005-01-08,https://railroads.dot.gov/elibrary/hq-2005-03-finalized,True,,"{'Accident Date': 'January 8, 2005', 'Accident Type': 'Other Impact Accident (OTI)', 'Railroad Name': 'BNSF Railway (BNSF)', 'Location': 'Bieber, CA\nUnited States', 'Accident Number': 'HQ-2005-03', 'Investigation Status': 'Finalized'}",,hq200503.pdf
Accidents & Fatalities,Accident Investigations,2005-01-11,https://railroads.dot.gov/elibrary/hq-2005-06-finalized,True,,"{'Accident Date': 'January 11, 2005', 'Accident Type': 'Head End Collision (HEC)', 'Railroad Name': 'CSX Transportation (CSX)', 'Location': 'Banks, AL\nUnited States', 'Accident Number': 'HQ-2005-06', 'Investigation Status': 'Finalized'}",,hq200506.pdf
Accidents & Fatalities,Accident Investigations,2005-01-15,https://railroads.dot.gov/elibrary/hq-2005-07-finalized,True,,"{'Accident Date': 'January 15, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Union Pacific (UP)', 'Location': 'Waller, TX\nUnited States', 'Accident Number': 'HQ-2005-07', 'Investigation Status': 'Finalized'}",,hq200507.pdf
Accidents & Fatalities,Accident Investigations,2005-01-26,https://railroads.dot.gov/elibrary/hq-2005-08-finalized,True,,"{'Accident Date': 'January 26, 2005', 'Accident Type': 'Highway-Rail Grade Crossing Incident (HRX)', 'Railroad Name': 'Southern California Regional Rail Authority (SCRX)', 'Location': 'Glendale, CA\nUnited States', 'Accident Number': 'HQ-2005-08', 'Investigation Status': 'Finalized'}",,hq200508.pdf
Accidents & Fatalities,Accident Investigations,2005-01-31,https://railroads.dot.gov/elibrary/hq-2005-09-finalized,True,,"{'Accident Date': 'January 31, 2005', 'Accident Type': 'Derailment (DRM)', 'Railroad Name': 'Norfolk Southern (NS)', 'Location': 'Tarentum, PA\nUnited States', 'Accident Number': 'HQ-2005-09', 'Investigation Status': 'Finalized'}",,hq200509.pdf
Accidents & Fatalities,Accident Investigations,2005-02-01,https://railroads.dot.gov/elibrary/hq-2005-10-finalized,True,,"{'Accident Date': 'February 1, 2005', 'Accident Type': 'Rear End Collision (REC)', 'Railroad Name': 'CSX Transportation (CSX)', 'Location': 'BELLEFONTAINE, OH\nUnited States', 'Accident Number': 'HQ-2005-10', 'Investigation Status': 'Finalized'}",,hq200510.pdf
