news_id,url,pub_date,title,selected_crawler,accident_date,content
CBMiygFBVV95cUxQdjFzbFl0dXplb3F3T3RtdEpnTVg2RURsNHoxRGZrVW5oSFZhSDFFRHlSRTVtZGxSSnZxRi1JSlJaUEpxdC1IREFnRklWX2JSd2Jmd1M3WS04Skl5MU1Kd1NqbEZ6cy03X25XeXQwczJEa3pkVkhkZlBYaXhKZU1TVF9LTUxBUkJ5SDFHamI0MzZwMDh4WHFRWjlWbmRweU9DQ0RhN0JtUU1LQWtjbFhXWDFJalhLM3JxZkdicGdIU3V4amlXOU1jMUVR,https://www.vcstar.com/story/news/local/2026/02/10/man-from-fatal-amtrak-crash-motorcyclist-killed-on-highway-101-idd/88615701007/?gnt-cfr=1&gca-cat=p&gca-uir=false&gca-epti=z11xx24p119850c119850v11xx24&gca-ft=43&gca-ds=sophi,2026-02-11 03:05:00,"Man from fatal Amtrak crash, motorcyclist killed on Highway 101 ID'd - Ventura County Star",tf_html,2026-02-07,"Man from fatal Amtrak crash, motorcyclist killed on Highway 101 ID'd
Ernesto Centeno Araujo
Ventura County Star
Updated Feb. 10, 2026, 7:05 p.m. PT
Man killed by Amtrak train in Somis identified
Authorities have identified the man who was killed by an Amtrak train in the unincorporated Somis area on Feb. 7.
Miguel Garcia Castillo, 25, was from Somis, according to the Ventura County Medical Examiner's Office. He died of blunt force head injuries and his death was deemed a suicide."
CBMilgFBVV95cUxObnAwY3ozU29wWUFWcGw3cW5lNGRZZS1qaWxPei1YNnNJdEV0SzB3R0M0SVVFdTdyZHM4SWpXQ29EZ3gzUU96cTFLWHFsYWRZNkhxbC1VX2tTNUN1ZW5NLU1fMnhCbWZ5OUE1OHo2WGtvQjB4UldWSkxQSmt5WDdSNDhEdWNuZlFhenpXbXUxZGw4Ul9YUEE,https://krcrtv.com/news/local/investigation-underway-of-pedestrian-killed-by-train-in-chico,2026-02-10 00:35:18,"Man struck, killed by train in Chico early Monday morning - KRCR",rd_html,2026-02-09,"Man struck, killed by train in Chico early Monday morningby Caleb FreyMon, February 9, 2026 at 7:50 AMUpdated Mon, February 9, 2026 at 7:58 PM"
CBMi3gFBVV95cUxNd0VqeE95YnVEMmhITnh5cWRWTkRZaGRpRjJzSFlSYUhfa1RjcndlQTdPWEk5QWh4NTRLSGI2SnI5OGFRNGlJdC1WOGhtQnB2a3ZUZkl6UEk0WjVGejF3QktPTnhnWkNJT3RmVENHSVRMN1dKMUZleXAzempydnNmTU95ZzFfNzlJUjE3VVR0bXRVUVNhSG44NmVXOFFwTGstVm51WmE0Y2VFOXFIT2thcFRVWVhMWTYteElfb2xnamZSci1tcFE3WklQZUowSnVKRG4wVzc5QXpfQnlocmc,https://www.facebook.com/accidentnews247/posts/santa-barbara-county-ca-man-hit-injured-by-freight-train-near-lookout-park-accor/1222460053402557/,2026-02-11 14:25:12,"Santa Barbara County, CA – Man Hit, Injured by Freight Train near Lookout Park According to the authorities, the accident was reported just after 5 p.m. February 10, between Lookout Park and Fernald Point Santa Barbara County, CA – A man was hospitalize - facebook.com",np_html,2026-02-10,"Santa Barbara County, CA – Man Hit, Injured by Freight Train near Lookout Park According to the authorities, the accident was reported just after 5 p.m. February 10, between Lookout Park and Fernald Point

Santa Barbara County, CA – A man was hospitalized after being hit by a freight train near Summerland in Santa Barbara County on Tuesday afternoon.

According to the authorities, the accident was reported just after 5 p.m. February 10, between Lookout Park and Fernald Point.

Firefighters with the Montecito Fire Protection District and other emergency personnel responded to the scene and found a pedestrian on the railroad tracks.

Preliminary reports indicate that a freight train had hit the victim but the circumstances under which the accident happened were yet to be established.

The victim was given first aid before being transported to Lookout Park. He was then loaded onto an AMR ambulance and taken Santa Barbara Cottage Hospital.

https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.montecitofire.com/&ved=2ahUKEwj4v6z20dGSAxXs5ckDHQVpOVwQFnoECCAQAQ&usg=AOvVaw3PjfMXvgQhh0AIwPU5isjF As per the Montecito Fire () officials, the pedestrian was transported with serious injuries. There was no update on the victim’s identity at the time of the report.

The railroad tracks were temporarily shut down in the area while investigations into the incident were ongoing. The tracks had reopened as of 7 p.m.

Authorities are currently working to find out how and why the pedestrian was hit by the train."
CBMinAFBVV95cUxPNzRGd0hyWjhlX2w3T1hDbk1kWHpyd1lrRzYtUkRSMlhhUnkxVmNZeVBSUHFJU2NjbDVuQlBFdWdIaUpsd1RlUDA2aEZwUG11OWpwX0tCTEgyT21WcTJZOGZoTl9FbkZRU05ZS3FvNmVYVVZVN3FEcUxHSncyelVUUFpQaF9kenhFczJlSEUzcmg2YmtsRThzamllMHk,https://padailypost.com/2026/02/09/community-urges-council-to-close-train-crossing-after-deaths/,2026-02-10 04:13:05,Community urges council to close train crossing after deaths - Palo Alto Daily Post,gs_html,2026-02-04,"Palo Alto community members are urging City Council to close the intersection where Churchill Avenue intersects with the railroad tracks after a Caltrain hit and killed 17-year-old Summer Devi Mehta last Tuesday.

In a letter to the City Council Nick Mehta, Summer’s father, said he supports closing the intersection, believing Churchill provided an “easy means for her to impulsively act at a low moment.”

The letter was read by a friend of Nick Mehta’s during tonight’s council meeting.

The Caltrain crossing at Churchill Avenue and Alma Street is adjacent to Palo Alto High School, and has been the site of multiple student suicides over the past few years.

“It is too late for my daughter but it is not too late for others,” Nick Mehta wrote.

In response, Mayor Vicki Veenker said tonight that an The Rail Safety/Youth Mental Health ad hoc committee has been created to look into ramping up safety measures at the intersection, and the logistics of shutting it down, an action that Palo Alto Unified School District Superintendent Don Austin urged the council to do in a Thursday letter.

The committee consists of council members Julie Lythcott-Haims, Pat Burt and Greer Stone.

Lythcott-Haims said the committee has already met with Caltrain and other city transportation safety officials to explore their options, which included talks about installing more high-tech cameras that can detect unusual movements on the tracks and paying security guards to monitor the intersection. The committee will meet again this week, Lythcott-Haims said.

But several residents said they also want council to shut the Churchill crossing immediately, and not wait for the committee’s insights and recommendation.

A resident who identified herself as Bre. T said her daughter was Summer’s friend and is “begging” the council to close the intersection.

“Failing to close is a complacency I just can’t tolerate as a mom anymore,” she said.

Prior to the ad hoc meeting, Caltrain and Palo Alto were working on installing new technologies at Churchill crossings to improve safety, including using AI to help detect and alert officials about lingering cars and pedestrians on the tracks. Other potential updates include a partial underpass to reduce car and pedestrian traffic and grade separation, which would require temporarily closing the crossing."
CBMingFBVV95cUxNS25rQ3I1RmZ2SjE5TEFpeU05REs3am8weldrbTY3ZkRFWjV5R3pPRUMtUVpqdVRiYWxud0Zqd3RiNUpuYzJXZjd3Vzc4dmNVeFhvZHh3Slp3dEFzZUdMSEJFNDVBbno3TlpTTWNyell4U3M5QU5mbzJMWDNfYkEzZ2Z6SEpWYzRocDloZ05jRFBlTXZOdWxqLXdsNUhUUQ,https://www.thelegaladvocate.com/news/breaking/jose-calderon-union-pacific-south-cucamonga-avenue,2026-02-06 19:26:42,"Jose Calderon killed in pedestrian-train crash, authorities say - The Legal Advocate",tf_html,2026-02-04,"Struck by Union Pacific train on South Cucamonga Avenue
ONTARIO, CA, (February 04, 2026) - A 44-year-old man was tragically killed in a pedestrian-train accident Wednesday morning in Ontario.
Jose Calderon died after being struck by a Union Pacific train in the 200 block of South Cucamonga Avenue in San Bernardino County.
According to authorities, Ontario resident Jose Calderon was struck by a Union Pacific train at about 8:48 a.m. in the 200 block of South Cucamonga Avenue.
Calderon was pronounced deceased at the scene.
No additional details have been released.
FATAL PEDESTRIAN-TRAIN ACCIDENT INVESTIGATION
Train accidents such as this can occur for several reasons, including train personnel error, train track failure, a mechanical error or malfunction, a signalman error, and reckless actions.
According to the National Transportation Safety Bureau (NTSB), approximately 1,000 people are killed in train-related accidents each year. During the probe, investigators will also examine if the crash site was made safe for the pedestrian crossing.
Candice Bond, an experienced train accident attorney, said that in cases such as this that it is imperative to have an independent investigation conducted by a seasoned lawyer as soon as possible to preserve evidence for a victim's family.
“A skilled attorney can protect a grieving family from powerful train companies, which often send their investigators to crash sites and possess a variety of resources they can utilize to defend a negligent party,” said Bond, Managing Partner of Bond Legal and national analyst for The Legal Advocate.
WRONGFUL DEATH CLAIM
Pending results of the investigation, family members of Jose Calderon may be entitled to a wrongful death claim. Family members of wrongful death victims may seek damages for loss of love and companionship, pain, suffering and emotional distress following a catastrophic accident such as this incident.
“The stress and sorrow can be extremely overwhelming after losing a loved one in an accident,” said Stefano Formica, Of Counsel with Bond Legal. “We understand just what families are forced to go through, and having their rights protected is vital. A wrongful death lawyer will stay updated on the official investigation and help ensure that their legal rights and best interests are protected.”
(This report is based on verified data - learn more on our About Us page.)
If you or a family member have been involved in a situation similar to this article and would like to speak to our national legal analysts Candice Bond or Stefano Formica free of charge, please use the contact information found on this page.
(Candice Bond, Managing Partner, and Stefano Formica, Of Counsel, at Bond Legal, are the national legal analysts for The Legal Advocate. The Legal Advocate can and does use quotes from prior interviews with our analysts for our news articles. If you would like to contact Bond Legal to help you, please call 866-599-0297 or use the submission box found on this page. Legal analysts quoted may or may not be licensed in your state).
Tags: Latest News, Commercial, Pedestrian Accident, California, Fatal Crash, Train Accident, Union Pacific, Ontario, South Cucamonga Avenue, San Bernardino County"
CBMipwFBVV95cUxNdTNXbm9wUUNqdDlELTFzcVRQRkZWRzhjM2YwVkF1REJkaFJSR3d0V0dqZzZsMUhZbmpzOEtCSnIyTGMyc2ppYlJNbUhGc3lwSjZ5eFN3ckdIOEtfRGFJbXZUUThkZUVzTGJoMjNNckdjWTBvdnl6MWpHZ2xnSWR2bGlTX3o4NGNDOVJ6UGtGNERkSnNvcDB5b3ZpY2ZwckFkeld1OTRRUQ,https://www.thelegaladvocate.com/news/breaking/zukhra-kurbanova-fatal-train-crash-brazil-street-glendale,2026-02-06 05:51:35,"Zukhra Kurbanova killed in Glendale Metrolink train crash, police say - The Legal Advocate",tf_html,2026-02-04,"Two people, including a bystander, were transported to a hospital
GLENDALE, CA, (February 04, 2026) - The Glendale Police Department said a 35-year-old woman was killed in a crash with a downtown Los Angeles-bound Metrolink train along Brazil Street on Wednesday morning.
Zukhra Kurbanova, 35, was killed Wednesday morning when her vehicle was struck by a downtown Los Angeles-bound Metrolink train at a crossing in Glendale.
She was identified by the Los Angeles County Medical Examiner as Zukhra Kurbanova.
The crash occurred just west of the intersection of San Fernando Road and Broadway.
Kurbanova was driving a vehicle northbound on West San Fernando when she attempted to make a right turn onto Broadway around 9 a.m. and was struck by a Metrolink train traveling on the tracks. Tragically, she died at the scene from her injuries. The train was carrying roughly 150 passengers, three of whom were injured. One person was transported to a hospital. A bystander struck by debris from the crash was also hospitalized with non-life-threatening injuries.
Two trains, each on the Antelope Valley and San Bernardino lines, were canceled after the collision.
This is an ongoing investigation.
CRASH INVESTIGATION NEEDED
Train accidents such as this can occur for several reasons, including train personnel error, train track failure, a mechanical error or malfunction, a signalman error, and reckless actions.
Each year, train-related crashes claim hundreds of lives across the United States. Many of these fatalities result from poorly marked crossings, malfunctioning signals and inadequate fencing. Railroad deaths totaled 954 in 2024, a 1% decrease from the 2023 revised total of 967, the National Safety Council said in a report. During the probe, investigators will also examine if the crash site was made safe for the crossing.
Candice Bond, who specializes in train-related crashes, said that in cases such as this, it is imperative to have an independent investigation conducted by a seasoned lawyer as soon as possible to preserve evidence for a victim's family.
“A skilled attorney can protect a grieving family from powerful train companies, which often send their investigators to crash sites and possess a variety of resources they can utilize to defend a negligent party,” said Bond, Managing Partner of Bond Legal.
WRONGFUL DEATH CLAIM
Pending the investigation, the family members of Zukhra Kurbanova may be entitled to a wrongful death claim. Family members of wrongful death victims may seek damages for loss of companionship, pain, suffering, and emotional distress following a catastrophic accident such as this incident.
“The stress and sorrow can be extremely overwhelming after losing a loved one in an accident,” said Stefano Formica, Of Counsel with Bond Legal.
“We understand just what families are forced to go through, and having their rights protected is vital. A wrongful death lawyer will stay updated on the official investigation and help ensure that their legal rights and best interests are protected.”
(This report is based on verified data - learn more on our About Us page.)
Have you been in a similar accident and need help? Speak to one of The Legal Advocate's national legal analysts now free of charge for a no-obligation.
(Candice Bond, Managing Partner, and Stefano Formica, Of Counsel, at Bond Legal, are the national legal analysts for The Legal Advocate. The Legal Advocate can and does use quotes from prior interviews with our analysts for our news articles. If you would like to contact Bond Legal to help you, please call 866-599-0297 or use the submission box found on this page. Legal analysts quoted may or may not be licensed in your state)."
CBMiogFBVV95cUxQQ0wtOEJwR25PdmlJRnFiYUdGbzBNODBXb0JQN3BkcDlTVld5Um5pNDJwUWZIWVlpOGgxRUxtNGpTa1h2NnN1ekhnd3RUcHBVV3FWUFl4b18yYnRqSnc5ODV6SldSN2t5d0lubFFzM0tkY1lYZmwyY2EwYTRaRXFmTHMweVZielBINGhSSngwZl9yRnhJbWZQeXBsU2tkUXp3Snc,https://localaccidentreports.com/santa-barbara-county-ca-train-accident-injures-man-near-summerland/,2026-02-13 02:36:17,"Santa Barbara County, CA – Train Accident Injures Man Near Summerland - localaccidentreports.com",np_html,2026-02-10,"Santa Barbara County, CA (February 12, 2026) – A man was seriously injured after being struck by a freight train between Lookout Park and Fernald Point near Summerland on Tuesday, February 10 just after 5 p.m., according to authorities.

Key Details

Reported: Tuesday, February 10 just after 5 p.m.

Tuesday, February 10 just after 5 p.m. Location: Railroad tracks between Lookout Park and Fernald Point, near Summerland

Railroad tracks between Lookout Park and Fernald Point, near Summerland Type of incident: Freight train versus pedestrian

Freight train versus pedestrian Injuries: Victim sustained serious injuries

Victim sustained serious injuries Medical response: Transported by AMR ambulance to Santa Barbara Cottage Hospital

Transported by AMR ambulance to Santa Barbara Cottage Hospital Responding agency: Montecito Fire Protection District and other emergency personnel

What We Know So Far

Firefighters located the injured pedestrian on the railroad tracks upon arrival.

Preliminary reports indicate a freight train struck the man under circumstances that remain under investigation.

The victim received first aid before being moved to Lookout Park and then transported to the hospital.

Rail service in the area was temporarily shut down and reopened around 7 p.m.

What’s Not Yet Confirmed

How the pedestrian came to be on the tracks at the time of the collision.

The identity of the injured man.

Whether any warning systems or signals were activated prior to the incident.

The man’s current medical condition.

Local Context

The incident occurred along the coastal railroad corridor between Lookout Park and Fernald Point near Summerland in Santa Barbara County. This stretch of track runs close to shoreline communities and recreational areas, including Lookout Park, and is used regularly by freight and passenger trains traveling through the region. When a train-related injury is reported in this area, responders from agencies such as the Montecito Fire Protection District must coordinate access along the tracks, which can be more difficult than roadway incidents. Temporary rail shutdowns may also affect service schedules while authorities secure the scene and conduct their investigation.

What to Do Next

If you witness a rail-related emergency, call 911 immediately and provide the exact location, including nearby landmarks such as Lookout Park or Fernald Point. Remain at a safe distance from railroad tracks and avoid attempting to approach or assist unless directed by emergency personnel. Write down what you observed, including train direction and timing, while the details are still fresh. Check official transit or rail advisories for updates if you plan to travel through the affected corridor.

FAQ

Q: Why are details sometimes limited right after a train accident?

A: Early information is often preliminary while investigators review scene evidence, speak with train operators and witnesses, and confirm the sequence of events.

Q: Are train-pedestrian crashes typically severe?

A: Collisions involving trains often result in serious injuries due to the size and speed of rail equipment, which can limit stopping distance.

Q: Can railroad operations be suspended after an incident?

A: Yes. Rail traffic may be temporarily halted so emergency crews can safely assist victims and investigators can examine the scene before service resumes."
CBMiqwFBVV95cUxQZ29DQlRnU0NpdjdCaXMydm1UbXVKdjB4WEdyY3o5dHJfTWxCclhBdHNyUkVrdXFBdHJDMzg4bG04TkViS0tzWjVsbGlqNU5ydDlXdXZDN3haXzBFV2wzSnZ4ZkxLMjR3Ulp0WUFPWWJCbUVkNHh2djBvSEthZ2dHODZKdWt6THBSLUlVdmI4MWVibzBOOHo5UEQ4WTNmLVhUeTk1Ql9HS29wam_SAcQBQVVfeXFMUE9COWRJQmFEMlhCeVJZMUYtVmN3dEJselZHTW5VLVk4Yl9aMEhfZFdKV2tJOGNMSmF2OTQ0ZkNGRVo3bEF1anE4MDFVTmhrMm1CM1JaemJpczh1bUZqeUE0REl3SkNpSHdocV84anVHaVFpMTkzRndWcXhwT01JbEVRU2xCZ3N5WHBlY2tMNWRlVTV1WmMxYVJYWjJ2SkFMSW80cExUOEswMXI3X1dKSmVKZ2hxdEVuV2dyNGh0enVZNkoxNw,https://patch.com/california/los-angeles/man-injured-incident-laxs-still-unopened-people-mover-train-report,2026-02-13 18:36:23,Man Injured In Incident At LAXs Still-Unopened People Mover Train: Report - Patch,tf_html,2026-02-13,"Crime & Safety
Man Injured In Incident At LAX's Still-Unopened People Mover Train: Report
A man was injured in an incident involving LAX's automated people mover on Thursday.
LOS ANGELES, CA — A man was injured in an incident involving the Los Angeles International Airport’s still-unopened automated people mover train on Thursday, according to a report.
The Los Angeles Fire Department responded to the airport after 1 p.m. Thursday in response to the incident, in which a 36-year-old man suffered minor injuries. He was transported to a local hospital, according to KTLA.
The man was believed to have been working on the people mover when the incident happened.
Find out what's happening in Los Angelesfor free with the latest updates from Patch.
When complete, the people mover will transport passengers between terminals at LAX and connect to a Metro transit center, parking and rental car center. The train has been subjected to delays and is now set to open later this year.
Get more local news delivered straight to your inbox. Sign up for free Patch newsletters and alerts."
CBMimgFBVV95cUxQVVJEeDVlYzFMczVGNzM0b0swQ3B6WVJIYktOMjFaQWw3WDhMRWZfS3QzQm1GbHB6eFhDODg0azlSSHZiQTB0ajAwdnl3RGUyOVV5WW5yUnBVVzBlNldNOVpTek9BN1Q3alhZenFPaV9fRmJoRVd1amhtRFA0QjZ5dDEzc0JXWGxxT1hSWWtISGxPOWpfSDJpbG9n,https://www.noozhawk.com/person-taken-to-hospital-after-being-hit-by-train-near-santa-barbara/,2026-02-14 03:04:27,Person Taken to Hospital After Being Hit by Train Near Santa Barbara Cemetery - Noozhawk,tf_url,2026-02-14,"A man died Friday night after being struck by a train near the Santa Barbara Cemetery, according to the Santa Barbara Police Department.
Personnel from the Santa Barbara City Fire Department and the Montecito Fire Protection District responded shortly after 5:45 p.m. to the report of a train-versus-pedestrian collision near the 1800 block of East Cabrillo Boulevard, fire Battalion Chief Jon Turner told Noozhawk.
Police officers also responded and started CPR, which was taken over by fire crews, Turner said.
The victim, who was found on the south side of the tracks, was transported by AMR ambulance to Santa Barbara Cottage Hospital, where he succumbed to his injuries, police said.
His name was not released pending notification of relatives.
Responders confirmed the victim was hit by a northbound Amtrak passenger train, Turner added.
The incident was under investigation and no other information was immediately available.
This is the third incident of a person being hit and injured by a train in southern Santa Barbara County this month.
A man was struck and killed by a northbound Amtrak Pacific Surfliner train on Feb. 1 in Santa Barbara near Milpas Street. The Coroner’s Bureau is investigating and has not yet released his name.
On Tuesday, a man was transported to the hospital with major injuries after being hit by a freight train in Summerland. The man was hit on a trestle on the tracks between Lookout Park and Fernald Point."
CBMikwFBVV95cUxQMjl3ek5NdGkxZm5CZ19JVFhTSjN6UmNSSExBdk5seG5QZkxPZzZEMFlVTGwzMXBqRmxXbTJDVnRiUWUyQ0tRR0s0RllWa1dsRDUyVHVwMm1kbjlpM0JWbEtYZENSd1pkc3UyckUxOXhVUFRpdVlxei1UYTdmcDJlSzJWdlh1SGZFaXczaURPc1hyTHM,https://keyt.com/news/top-stories/2026/02/13/man-dead-after-train-collision-in-montecito/,2026-02-14 09:08:56,Man dead after train collision in Montecito - News Channel 3-12,gs_html,2026-02-14,"MONTECITO, Calif. (KEYT) – Montecito Fire crews helped take a man to the hospital after a train hit him near the City Sanitation District on the south side of the tracks.

The man did not survive after an Amtrak train hit him just before 6:00 p.m., according to the Montecito Fire Department.

Santa Barbara Police, among others, tried to use CPR on the man before they took him to Cottage Hospital where he unfortunately passed away.

The man's name is being withheld pending notification of the next of kin, according to the SBPD."
