,,content,label
149,gs_html,"Driver error on a bus, or a drunk driver who caused it all? Millions of dollars are at stake as the Greyhound crash trial reaches the finishing line.

Driver error on a bus, or a drunk driver who caused it all? Millions of dollars are at stake as the Greyhound crash trial reaches the finishing line.

Driver error on a bus, or a drunk driver who caused it all? Millions of dollars are at stake as the Greyhound crash trial reaches the finishing line.

Driver error on a bus, or a drunk driver who caused it all? Millions of dollars are at stake as the Greyhound crash trial reaches the finishing line.

FRESNO, Calif. (KFSN) -- Driver error on a bus, or a drunk driver who caused it all? Millions of dollars are at stake as the Greyhound crash trial reaches the finishing line.

After five weeks in court, the trial over who's to blame for the 2010 crash is coming to a close and a jury will now decide. The families of Sylvia Garay, Stephanie Cordoba and Vanessa Gonzalez are suing the bus company, claiming the young women were killed, at least in part, because of a bus driver's mistakes.

An extensive California Highway Patrol investigation concluded Sylvia Garay was at fault because she was driving drunk and caused the first in what would be a chain reaction of crashes. But attorneys for her family say the evidence she was behind the wheel is just not there.

From any perspective, the crash on Highway 99 was an ugly one. Six people died early that July morning in 2010 when a Greyhound bus drove square into an overturned SUV in the fast lane. Three people died in the SUV; three in the bus.

From the perspective of the girls' families, the bus driver could've avoided the collision if he swerved a little, which he might've done if he wasn't violating a couple rules of the road.

""It's not okay at 2 o'clock in the morning to speed, if you're running late,"" said Jason Helsel, the attorney for Garay's family. ""It's not okay to not have your glasses on.""

But from Greyhound's perspective, those arguments are a smokescreen. CHP investigators found Sylvia Garay had a 0.11 blood alcohol content at the time of the crash and the 18-year-old crashed her mother's SUV. Everything afterwards was unavoidable.

At least three witnesses disagreed. They put Vanessa Gonzalez behind the wheel and Action News obtained video from earlier in the evening showing her in the driver's seat. Gonzalez had no alcohol in her system and was supposed to be acting as designated driver. So attorneys for the survivors say it's a stretch to believe Garay was driving in the fateful moments before the crash.

""You would have to believe that at those last moments she finally decided 'I'm going to throw the keys to Sylvia,'"" Helsel said. ""It just didn't happen.""

Greyhound's attorneys argue seat belt marks prove Gonzalez was a passenger. And they say it's unfair to second guess James Jewett, the bus driver who died in the crash.

Garay's family says the trial is all about clearing her name.

There's also the money. Garay family attorneys asked for $2 million in damages. The attorneys for the others asked for up to $4 million per family.

The jury should start deliberating the case Tuesday morning and a verdict is expected by the end of the week.",NO
20,tf_html,"A California man with a history of violence and mental illness has been found guilty of the random stabbing death of 18-year-old Nia Wilson on a commuter train platform two years ago, a killing with racial undertones that prompted rallies and vigils throughout the San Francisco Bay Area.An Alameda county jury announced on Tuesday it had found John Lee Cowell, 29, guilty of murdering Wilson at the MacArthur Bart station in Oakland as she was returning home from a family gathering with her two sisters. Jurors also found Cowell guilty of attempted murder in the stabbing of Wilson’s sister, who survived severe injuries to her neck.The jury also convicted Cowell of the special circumstances count of lying in wait. The jury reached the verdict hours after starting deliberations.Cowell will face a second trial to determine his sanity. If found insane, he would be sent to a psychiatric hospital.The stabbing death of the young African American woman in July 2018 horrified bystanders and added to Bay Area Rapid Transit (Bart)’s reputation as unsafe. The commuter train system connects San Francisco to cities in the South and East Bay areas, including Oakland and Berkeley. Train officials sought to reassure the public with measures intended to improve safety.Family and friends have said the women were targeted because of their race but prosecutors declined to charge him with a hate crime. That doesn’t mean race did not come up. Cowell admitted at trial that he had been punched in the face by a black woman about a week before the train stabbing and the prosecutor queried him about trying to pick a fight with another black woman after the stabbing.Cowell followed the sisters from the platform on to a train for a 30-minute ride to another station, then stabbed them when they were boarding another train, the deputy district attorney Butch Ford told the jury in opening statements in early February.Videos showed Cowell tailing the women and removing a knife hidden in his pants in the attack that killed Wilson and wounded Letifah Wilson, 26. Video also showed Cowell trying to blend in with passengers after the assault, misdirecting officers and changing clothes he kept in a backpack that was tossed, along with the knife, at a nearby construction zone.“He took that little girl’s life,” Ford told jurors in closing arguments on Monday, the East Bay Times reported.Cowell has pleaded not guilty by reason of insanity. His public defender, Christina Moore, argued that he stabbed the sisters in a “rash act” stemming from his mental illness and that a person can be organized yet schizophrenic.“This case is and always has been what was in John’s mind,” said Moore in her closing.Cowell was thrown out of court twice for disruptive behavior. He testified he thought the sisters were aliens and part of a gang that had kidnapped his grandmother.The trial, which took up much of February, had been delayed while authorities sought to determine Cowell’s mental competence through a series of psychiatric evaluations.In December, a judge ruled Cowell was fit to stand trial after noting that he was refusing to cooperate with doctors appointed to evaluate him.Cowell was released from a maximum-security facility for mentally ill convicts less than three months before the attack.",NO
590,gs_html,Business Insider tells the innovative stories you want to know,NO
971,tf_url,"06.14.2023 | 5:27 PM | SANTA ANA – Train and vehicle traffic was halted after a pedestrian was struck and killed by a Metrolink train, Wednesday evening.

The collision involving a train and pedestrian was reported on the railroad tracks near the intersection of East 17th Street and North Lincoln Avenue around 5:27 PM.

When authorities arrived they located a pedestrian down on the railroad tracks and pronounced them deceased.

The Metrolink train that struck the pedestrian stopped nearby prompting vehicle and train traffic to be stopped until further notice.

It was unclear why the pedestrian was on the train trucks and authorities are continuing to investigate the fatal crash.",YES
120,rd_html,"Officers believe the incident is accidental

Woman hit and killed by train in central Fresno identified

At this point, officers believe the incident is accidental.

At this point, officers believe the incident is accidental.

At this point, officers believe the incident is accidental.

At this point, officers believe the incident is accidental.

FRESNO, Calif. (KFSN) -- A woman who died after being hit by a train in central Fresno has been identified as 19-year-old Ashley Sanchez.

Police officers were called to Fruit and Ashlan around 11:30 Friday night when they found her body.

At this point, officers believe the incident is accidental.

They say after interviewing the conductor, the train did not have enough time to stop before Sanchez was hit.

An investigation is underway to determine why she was walking so close to the tracks.

The crossing at Fruit and Ashlan has since re-opened.",YES
1141,gs_url,"Union, Ky man seeks to bring his son home following accident
Union, Ky. (WXIX) - Robert Evans is on a mission to bring his son back home after he’s been in the Intensive Care Unit at a hospital in San Bernardino since mid-December.
His son Dakota, who goes by “Kody,” was camping out in an embankment underneath a tree sleeping when he was struck by a drunk driver, according to Evans.
“Never in my wildest dreams did I think this would happen, I never thought he’d just be laying there and have a car on top of him,” said Evans.
Evans also said he was worried about him getting hit in a train accident, and never imagined he would have “a drunk driver drive on top of him” while he was minding his business.
“It was crazy, my initial reaction was, ‘Drop everything and fly out to California,’” Evans said.
Evans describes Dakota as being a free spirit who had set out on a journey.
“He’s walked, he’s hitchhiked, he’s hopped trains - whatever he can do to get around the country - when I say ‘free spirit,’ I mean ‘free spirit,’ Evans said. “No fear, just traveling by whatever means possible to get to where he needed to go.”
Evans recalls that after the accident, Dakota woke up three weeks later in the ICU with tubes coming out of his chest, and he was unable to move. He says his son suffered from a broken spine, a severed spinal cord, collapsed lungs and broken ribs, and his injuries left him paralyzed from the waist down.
“We all just hoped and prayed that he’d even live,” said Evans.
Dakota is now breathing on his own and Evans says he no longer needs a ventilator and has made vast improvements. The medical staff caring for him now call him “The Miracle ICU Man.”
Evans said Dakota’s neurosurgeon told him after the spinal surgery that he’d never seen anyone survive the trauma and damage that he experienced.
“To see him make these improvements, it helps tremendously,” Evans said.
Evans also says he’s been working to get the doctors onboard to get his son stable enough to come back to Cincinnati and says he plans on renting a van for the cross-country trek to California to bring him to Encompass Health Rehabilitation Center in Norwood as soon as possible.
A Go Fund Me account was created to cover his medical expenses and rehab. So far, more than $20,000 has already been raised toward the $50,000 goal.
See a spelling or grammar error in our story? Please include the title when you click here to report it.
Copyright 2023 WXIX. All rights reserved.",NO
553,rd_html,"LAist relies on reader donations to power our nonprofit newsroom. Support LAist by giving now .

The parents of Monique Muñoz, who was killed in 2021 by a speeding teen driver in West Los Angeles, will receive more than $18 million in a wrongful death settlement — and could receive more than $25 million in total.

“The money will never bring back their daughter,” said Daniel Ghyczy, the lead attorney representing the victim’s parents. “Their focus has been trying to prevent something like this from ever happening to someone else — and to make sure that someone else doesn't get that call that their child had been killed because of a senseless act of negligence.”

In the lawsuit, Ghyczy and his team highlighted a pattern of high-speed, dangerous driving by the teen’s father, millionaire entrepreneur James Khuri. Along with displaying that behavior for his son Brendan to see, Khuri also gifted his son the Lamborghini SUV that he later crashed into Muñoz’s car, killing her.

Screenshots of social media posts (many of which have been deleted) show the elder Khuri driving his own sports car in excess of 100 mph, and video, allegedly shot by his son, shows Khuri engaged in high-speed, illegal street races. Khuri’s public Instagram features multiple posts of him with his sports cars.

And despite knowing his son was driving the SUV recklessly, Khuri allowed his son to continue driving, which Ghyczy’s team said demonstrated “despicable conduct in conscious disregard of the rights of others,” including Muñoz.

The crash happened on Feb. 17, 2021 when Muñoz, 32, was driving home from work at UCLA Health and attempted to make an unprotected left-turn south onto Overland Avenue from westbound Olympic Boulevard.

Brendan Khuri was driving over 100 mph eastbound on Olympic, prosecutors later said at his trial. He entered the intersection as Muñoz was completing her turn, smashing into her car. Police officials believe Muñoz died almost instantly.

One LAPD detective initially described the scene to LAist as almost ""complete devastation"" and ""among the worst aftermath of a traffic collision that I've seen.""

Brendan Khuri was later charged with felony vehicular manslaughter. He later pleaded guilty to the charge and was sentenced to 7-9 months in a juvenile camp.

Investigators previously told LAist the teen was charged in part because he’d been cited previously for reckless driving.

'They Do Nothing To Stop This From Happening'

In the lawsuit, Ghyczy and his team said James Khuri, along with Brendan Khuri’s mother, Christine Khuri, and stepfather, Richard Roderick, were fully aware of the teen’s pattern of dangerous driving, but “created an environment that further encouraged this behavior.”

“Not only did they do nothing to stop this from happening, they took steps which led to this happening,” Ghyczy told LAist.

He said the SUV that the teen crashed into Monique Muñoz’s car had been impounded by Beverly Hills police a few months earlier due to the teen’s reckless driving. Tow records obtained by Ghyczy’s law firm show James Khuri got the car back within 48 hours.

“It's not just ‘kids will be kids,’” Ghyczy said. “It's obvious that James Khuri knew what [his son] was doing.”

So far, no restitution has been paid by the Khuri family.

“They had refused all requests to contribute personally towards the settlement,” Ghyczy told LAist. “My clients were not looking for money, so they felt it was most important to be able to put this behind them to obtain 100% of what was available from the insurance companies in the civil matter.”

The $18.85 million payout will come from the insurance companies the teen driver was covered under at the time of the fatal crash. The plaintiffs’ attorneys state that Brendan Khuri “was engaged in a business errand for the direct or indirect benefit” of , LLC, which specialized in risk consulting and commercial insurance brokerage.

“The insurance companies were saying that Monique Muñoz’s life was not worth 100% of what was available for insurance coverage,” said Ghyczy. “It wasn't about establishing worth, it's about sending a message that just because Monique Muñoz was Hispanic… and just because Brendan Khuri was affluent from Beverly Hills, there was no discount that was going to be accepted.”

There is still a criminal restitution component to be decided in the case. Ghyczy explained Brendan Khuri may be required to personally pay restitution following a hearing expected this June or July.

He said Muñoz's parents feels their claims against James Khuri are further validated by the fact that he is currently facing a misdemeanor charge for contributing to the delinquency of a minor.

An arrest warrant was initially issued for Khuri on Feb. 16 this year, but was recalled the following day when he appeared in court, according to Ricardo Santiago from the L.A. County District Attorney’s Office. James Khuri’s arraignment has been set for June 8.",NO
1125,rd_url,"65-Year-Old Woman Dies after Struck by Vehicle in Rancho Cucamonga
RANCHO CUCAMONGA, CA (September 25, 2024) – Anna Cunerty was killed in a pedestrian accident in Rancho Cucamonga Wednesday evening on September 18.
The fatal accident happened around 8:20 p.m. on Foothill Boulevard, just east of Orchard Place. According to the San Bernardino County Sheriff’s Department, Cunerty was walking in the area when a vehicle struck her.
Paramedics immediately responded and transported her to San Antonio Regional Hospital, where she was pronounced dead at 8:56 p.m.
Cunerty was a 65-year-old Rancho Cucamonga resident.
It was unclear if the involved driver stayed after the crash.
An investigation into this fatality is ongoing.
We would like to extend our heartfelt condolences to the family and friends of Anna Cunerty.
If you have lost a loved one in a pedestrian accident, hire our top-rated wrongful death lawyers of the Law Offices of Daniel Kim help you get the compensation that you rightfully deserve. Daniel will work with you personally, one-on-one, to better understand your needs and situation. Backed by our seasoned litigators, we will guide you throughout every step of the process. Call us as soon as possible at (800) 895-7199 to schedule your free consultation. You can reach out to us 24 hours a day and 7 days a week. Our team can also help you request a copy of the police report from your loved one’s accident. While you focus on healing and recovery, we will handle the rest.",NO
305,tf_html,"




Keep up with LAist.
If you're enjoying this article, you'll love our daily newsletter, The LA Report. Each weekday, catch up on the 5 most pressing stories to start your morning in 3 minutes or less.  







San Bernardino County authorities announced this week that a 34-year-old man had been arrested and accused of igniting the Line Fire, which has burned more than 37,000 acres in San Bernardino County.So how often is arson to blame for wildfires in California?



What do the numbers show?Gianni Muschetto, staff chief of law enforcement at Cal Fire, said about 10-15% of wildfires in the last five years were the result of arson.
Pointing to published data from 2022 as an example, he said there were 358 arson fires in the state that year, amounting to about 12,000 burned acres. Each time, firefighters and members of the public were put at risk.“It’s not an accident, it’s not lightning. It’s a reckless or malicious act,” Muschetto told LAist.He mentioned the Park Fire, which fire authorities have said was set in July by a man accused of pushing a burning car down a gully near Chico. It’s reportedly the fourth-largest wildfire in recorded state history.The blaze burned nearly 430,000 acres in Butte and Tehama counties.“None of us, in our lifetime, are going to see those forests come back to what they were,” Muschetto said.



What are the common causes of wildfires?Wildfires can be started by natural causes, like a lightning strike, but far more often people are to blame. According to the National Park Service, nearly 85% of wildland fires in the U.S. are caused by human action.
Fire officials often point to neglecting campfires, operating machinery (like a faulty lawnmower) or discarding lit cigarettes as ways people may unintentionally ignite dry brush.But there are times when it’s no accident. It’s arson.In 2022 and 2021, Cal Fire identified arson as a cause in more than 350 fires each year, according to the department's most recent published data. Arson was the cause more often than campfires, playing with fire, electrical power, lightning and smoking. But it was less than a few other causes, like burning debris. In one of those years, 2021, there were more fires caused by vehicles — 419 — than arson.Cal Fire authorities had more recent data for arson-related arrests. Those arrests nearly doubled last year when compared to five years earlier. Last year, there were 111 arrests on suspicion of arson in Cal Fire areas. In 2018, there were 61.Within that five-year stretch, the most arson-related arrests happened in 2022, when there were 162, according to Cal Fire.
Muschetto attributed the higher numbers, in part, to video evidence captured on cellphones and home security cameras.“It allows us to identify those responsible for starting fires a lot more than we’ve been able to in the past,” he said.



How can suspected arson be reported?Members of the public can call Cal Fire’s hotline if they suspect arson. The phone number is 800-468-4408.Callers can remain anonymous.



What are some notable arson arrests?Line fire — Justin Wayne Halstenberg, a 34-year-old contract delivery driver from Norco, was arrested Tuesday, on suspicion of  starting the fire, which burned thousands of acres in L.A. and San Bernardino counties.
San Bernardino County Sheriff Shannon Dicus said Halstenberg is suspected of intentionally setting the fire, and that investigators were looking into the possibility that he may be responsible for setting others. The sheriff said automatic license plate readers captured a license plate of a vehicle connected to Halstenberg near where the Line Fire began.Dicus declined to say exactly how the fire was set, noting the investigation is in its early stages.Halstenberg is expected to appear in court Friday.Park Fire — Ronnie Dean Stout II, 42, was arrested on suspicion of arson in connection with the massive blaze that started near Chico. Cal Fire said a man they identified as Stout was seen pushing a car that was already on fire into a gully in an area called Alligator Hole. The car went 60 feet down an embankment, spreading flames that eventually burned more than 400,000 acres and destroyed more than 700 structures.Stout has pleaded not guilty and has denied pushing the car — he said it rolled — down the hill, according to The Sacramento Bee.El Dorado fire — A San Bernardino couple who set off pyrotechnics during a gender-reveal party in 2020 and inadvertently ignited the blaze that turned into the 22,000-acre El Dorado fire were sentenced in February. The fire killed a U.S. Forest Service firefighter and injured others. Five homes were destroyed.Refugio Manuel Jimenez Jr. pleaded guilty to involuntary manslaughter and was sentenced to a year in county jail and placed on probation for a term of two years. He was also ordered to do community service, according to the L.A. Times.Angelina Jimenez pleaded guilty to three misdemeanor counts of recklessly causing a fire to another’s property and was placed on probation for a year.  She, too, was ordered to complete community service.



Where can I find wildfire resources?Check our more wildfire coverage from the LAist newsroom. 

",NO
446,rd_url,"Missouri plans to spend $50 million on railroad crossings to avoid repeats of fatal 2022 Amtrak derailment
Several cars of an Amtrak train traveling from Los Angeles to Chicago derailed after it struck a dump truck at a crossing in northern Missouri
Rich Sugg/Kansas City Star/Tribune News Service via Getty Images",NO
