query1,query2,county,state,city,highway,news_id,report_key
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,37th Avenue,,ATK185594202503
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,37th Avenue,CBMitAFBVV95cUxNaFFoY2NsU3pYRmFTUThpNkNXbkx1YlFOZ2VPNGdYTmxPOW1kcVBXUkhrS3hwakExNlVpWDg5ZDMtSHJXSkFJQ2FHd25IOGo0NWptYXV1enJfbGlkYTR6UWp6ZmdCMzNuc0xXZzF4Z05fXzVROXRKRTU3dy1fZzNRaDQ2WkFiaEZwYUU5QXJCZzE0aDhBYzl0Qkt5OXd4ZFRBWDcxNHlRWEJua1VrblFFcEtCX0Q,ATK185594202503
train,accident,ALAMEDA,CALIFORNIA,SAN LEANDRO,Hesperian Boulevard,,ATK184931202502
train,accident,ALAMEDA,CALIFORNIA,SAN LEANDRO,Hesperian Boulevard,CBMitwFBVV95cUxORGl4T0dBMnF3U094WEpxQXpCVldJRnpyWC05VWhEOU5NcDBpQ1dBYW01eUs2NUV4N3hkd0s4c29QbFBKanFiUUcwRTMyZi1ORS1aLU1kWkwwcFlTS1RIM0ZMdkNvYUNDanNzZ1o1NkpUNDhBYkYyVnptUHE2WF9yNFNRMk5wMWZXcU9MSkZHWHNyby1SXzBkRVhManlqX1ljQTRMclRYamRtTHdPV2ljMmpyZkJyMkE,ATK184931202502
train,accident,ALAMEDA,CALIFORNIA,SAN LEANDRO,Hesperian Boulevard,CBMioAFBVV95cUxPTkVxTG9vekpaRWVQa2JvSXlpZ1lPWXBhZFctSWJycEhfaDJ6VFdNVkJ1WUFGZWZTcjhidF9lRU1kSnJSRHh1RGtxUTdRQjVKZGdDdDJBd0pUZFZUeEN1TC1ib1V0WXNLd0p3d01JbWdIZUZxSU9rWHpHYklvZ3NYTDdMLUp6QTI5c3hYOVFhR0tYQ1BIT2VVc0ZNWkpvNXZW0gGmAUFVX3lxTFBRNWdyaDdyZ3Y1TUVkXy1na0dXTkQ2Rnl6NmhFWTlRY0ppNGVwVEdWMVl2c3o3d1dZMk9zbUM4NWZTbUdmb3ZlOHFPaHdzVUdkTHpoZlBSaEQzY3h4UmVDc2FOX2txVWM2UkZoaDJSem9KMlVldGxKTS1PaWNyZkM3eWVUY2RPX2t4MnI4d1FHV1lPZnIyZHJGOXFidWNLdEx0UWNzekE,ATK184931202502
train,accident,ALAMEDA,CALIFORNIA,SAN LEANDRO,Hesperian Boulevard,CBMiowFBVV95cUxQUThsdTd6cXZOUW9DQnJfMzNiLWdZMC00aGNCaHFlaXdTSmtHaTExTHQxcjA2WVdvbE5zZVN6bEZISXFTZFk1YWNuYTBpbGloWS1zRDZ2ZXN4X3pPYmduOUlORkUtaGROazFRQkpSZFVrOEcwTlR0SkRvUm8zREpfVW0yM1l1NVB2QzNmMnpGcTBkdWNKYTA2VDRtNzVSS2ZaVzJR0gGrAUFVX3lxTE5GTkxkeEdDbHd0aGI4Mjc3b0JWVGc1YU5tSGZUdTFxZUl3ekQtU28tYkJzS1R2clJROEozcjZZNk1xUXB3MWJnRHlfN3pRU0VOMlZvcHlYa3Q0T1BJZFJWTjkxZ1N1ZFVFQkNvdlF6cTZyWVFPNi1EME9jSHNuRVlrV2dqWkE2YTlpMkNKN0Q5VmNHZ2RiZko3dkFLd0x3aUEwbWU1UzdlQWNPQQ,ATK184931202502
train,accident,ALAMEDA,CALIFORNIA,SAN LEANDRO,Hesperian Boulevard,CBMijAFBVV95cUxNZkprWDZ1MnVvZW1BbW9VRWdhYjQ2T3Z4X19sM1VLZ0hjcVpUQTVIWk44dU9jVjc0OEczVjZNU2JlM19HREJ6UVlIaldBRmpEWWtWMHVTS3V6aFh5WjNjUWthMEZpM3hHcmlIV1Z4RFpZc3hoeXpfZkxpLWdmcXVXMk9qOG5uR0lPcDFUStIBkgFBVV95cUxPLW5hcTNacWpTSXFsbVh3bk5ERmhnc0JyczhpbDdmX3dPX2NLNFBKaGZYQ2xVZ0ctemwxd29VZXZnWFZPS1BiUi1KeEdyR1BCQ1JEU1RHdXVLdnU0eGhza3p6UWdWYlJFVzNXNXVFM29UcDdSR0pTemUtY3ByelJCc0VCTDVTV2w2RnNJaXJPRzJmQQ,ATK184931202502
train,accident,ALAMEDA,CALIFORNIA,SAN LEANDRO,Hesperian Boulevard,CBMikwFBVV95cUxNRFhQQmlZUkhnUkxWb0FwU2dnUjFzdUVQZkhRcEhGVlNzNEMxS0hjQno4YXR0U1VaMWtUUm5FYi1xcDhpRW5KazZCRlFuTkRoWHl2ajZXSTBwSklDcnBMajJPMkRDMDUtbkl3Y0xYRzBod3lMRnFFcUZkdGJvU19kQ1RrVnV3cjFwQlpINmFnbVZnVlk,ATK184931202502
train,accident,ALAMEDA,CALIFORNIA,SAN LEANDRO,Hesperian Boulevard,CBMiwAFBVV95cUxPLXMzdnVOeXFfaWRyd3A0aVA1RXkySXM2cXNDR3QwV3BzLTZ4Q3RudE1pTVZVT01RTk1JOV81dUhKSEgyYW4yQ1VnMmJnOEJSVU5pbDVqSk9EbmNQUzZmVEtuWVBmbV91dWxnUno0bzN1RTE4ZmtEcUt0M0hoWEg3OVp5RkRhdUp3Z2FaZ0c0eVZTNnB4TklKQk1IbDk2Y3pDMkxWR3JWaU5iSmxodjljZVg5NU5UM1prZ2lfTm9CUlY,ATK184931202502
train,accident,ALAMEDA,CALIFORNIA,SAN LEANDRO,Hesperian Boulevard,CBMigwFBVV95cUxQdzNhOFRJRDc2eG9ZR1pGTFRzSEtLMGxFU2hpc0F2RUh1NV9rYXl1dkpKYlBZZms3bzZ4ejJQNmJydjlJejFkOF9mZW1zVVJkOWNiRGVCNEZwUVY2TDdJbWNGZTk2cWJ3Y0VTNTdUWE9Ib01XYkRvQXd0aVdEdXF3dXB2Y9IBiAFBVV95cUxONk9vdlYyQmJzeE9EeXFQTENwaFA1aW92NmNJVld4M3ZOUm4tSXRMTFpNd3JOVHE3LVpRdFpVSEFZTHg0aXo2UTZmQVlzSllUQ0ZGaGdLRGxqajJJNmVDMVVwRjAxSkZQZjltRHVTaG90S0ZQaEZvY1FySFZKZU5xeW0tLWpvR0hI,ATK184931202502
train,accident,ALAMEDA,CALIFORNIA,SAN LEANDRO,Hesperian Boulevard,CBMiggFBVV95cUxNUHEybkRXaFQ4LUxFUy1aUVhuZElIelNjUm43M3AyS29IZm9zYlI5NzJTcjQ0Qng4TURUajUyRjRvdkM1VlliMldmOEwzSGVOVlUxUXlZTWZfbHhoRGtGNC1kSlY1VEhoNkNOS3pKb2laamxycnlpTDVXT1ZJdW1fOFNB0gGHAUFVX3lxTE9KNWt0RDdLUVUwX2dKZ0pwYmtUUVVlY2E4M0RrdThlRWxDRUhfZFAyTWlvc3U4ME0temxfbDdEMEV5NFB1MlE1aUM4TC0ydy1yRDlEV3A2Ni1tSGlkeU5DUDM2TzFOdjRYWFRTbktlbGlMQjRTZ2NUTVllZGExRUFFU1Y2OG12TQ,ATK184931202502
train,accident,ALAMEDA,CALIFORNIA,SAN LEANDRO,Hesperian Boulevard,CBMi1gFBVV95cUxNU3BfWW9IVEplN3ByRFpDNmVNQUYyb0U1Tk45MmZNMUR4T0FBOVB5dUR5bjNPd0JwTmpaOUhRaUgyQVo1bHFoR3V5UHVzbmtFeG1OR1hhblgtbXE4MXVfTUNUQS1EaFo5amJhVlVDYkVMWm1FWENzOU5KZHRzcUFBMkMxLTBVSnI0R01iSDZBLWlVVlZvQkhyd19ka2JhRlBPb0VMLVhFMG1CM0tfWVduU19STlRINm4wOVV1RnpjTGF5aTRRcElGS3VrOTRpRk0zdUZqWmJn,ATK184931202502
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,66TH AVENUE,,ATK184639202502
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,66TH AVENUE,CBMipgFBVV95cUxQcU1ORDJ4TDdYYjhENHk1V1FCdUZEU09FanMyU05pSG1HU3kyZHBvVlNESDU5blE3QUZlbGY2UVlyTXJsNEY3ZFNPbTY0UnZ1NnRZVHZNWmo1NndUdUlFSEs2RXMtaWdFNGVWMXRVck1JUGk5Z29fdnprRGc1c1FBSEpoRnZRUUNNc2tjbklqYU1IVU9ONXREbmhwUDMwWjNzSXdrVkNR,ATK184639202502
train,accident,ALAMEDA,CALIFORNIA,BERKELEY,CEDAR STREET,,BNSFCA0125202202501
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,PRIVATE,,UP0125NC010202501
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,PRIVATE,CBMinwFBVV95cUxPazdIbW1od25sNG96a0h0R01CVGFuVG82UjZnSnlWVUxPTFNEMExrVGJQOXBVYVVkQTl0RUhVMjR1Xy1mZWhabGNsWnRNV0haTm5uSTExR3VuQkI1VDc5YTNmaVpicEFnOThjQVM1R2dkQlpVazl0UmNsUFBHSk02bXBObEs0SkJNUk1hR1Q2Q3RiM21MQ1hYRk95TVRSOXc,UP0125NC010202501
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,98th Avenue,,ATK181810202408
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,98th Avenue,CBMilgFBVV95cUxPMy1TUlgzaWd0UHV3c2VQc1BnNmo1N0VVMWtuZk1qTDVoRkdqM0JGaHJ6ZTZ0RFdaQnU3bTdWckpKWjVfSnl1T0tuWTBldVdZalJWZ2h3OUpfM2FNUGpCc3NSTTIyeXVrcF8zLWUzeDZtNU8wZDlHRlVoX2FKQll6Y2U1WHRWYzZzOXlxX045MmZKSEVyQ2c,ATK181810202408
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,98th Avenue,,ATK180768202406
