subject,action,spot,date,page,url
train,crash,crossing,2010-01-01,1,
train,crash,crossing,2010-01-02,1,https://www.rrstar.com/story/news/2010/01/02/train-derails-canadian-national-settles/44673526007/
train,crash,crossing,2010-01-03,1,
train,crash,crossing,2010-01-04,1,https://www.aljazeera.com/news/2010/1/4/jail-terms-over-egypt-train-crash
train,crash,crossing,2010-01-05,1,
train,crash,crossing,2010-01-06,1,
train,crash,crossing,2010-01-07,1,
train,crash,crossing,2010-01-08,1,
train,crash,crossing,2010-01-09,1,
train,crash,crossing,2010-01-10,1,
train,crash,crossing,2010-01-11,1,
train,crash,crossing,2010-01-12,1,
train,crash,crossing,2010-01-13,1,https://www.ocregister.com/2010/01/13/off-duty-er-doc-helps-out-at-train-accident/
train,crash,crossing,2010-01-14,1,
train,crash,crossing,2010-01-15,1,
train,crash,crossing,2010-01-16,1,
train,crash,crossing,2010-01-17,1,
train,crash,crossing,2010-01-18,1,
train,crash,crossing,2010-01-19,1,
train,crash,crossing,2010-01-20,1,
train,crash,crossing,2010-01-21,1,
train,crash,crossing,2010-01-22,1,
train,crash,crossing,2010-01-23,1,
train,crash,crossing,2010-01-24,1,
train,crash,crossing,2010-01-25,1,
train,crash,crossing,2010-01-26,1,
train,crash,crossing,2010-01-27,1,
train,crash,crossing,2010-01-28,1,
train,crash,crossing,2010-01-29,1,
train,crash,crossing,2010-01-30,1,
train,crash,crossing,2010-01-31,1,
train,crash,crossing,2010-02-01,1,
train,crash,crossing,2010-02-02,1,
train,crash,crossing,2010-02-03,1,https://www.newyorkinjurynews.com/2010/02/03/ma-dump-truck-collided-with-train-one-injured_201002032304.html
train,crash,crossing,2010-02-04,1,
train,crash,crossing,2010-02-05,1,
train,crash,crossing,2010-02-06,1,
train,crash,crossing,2010-02-07,1,
train,crash,crossing,2010-02-08,1,
train,crash,crossing,2010-02-09,1,
train,crash,crossing,2010-02-10,1,
train,crash,crossing,2010-02-11,1,
train,crash,crossing,2010-02-12,1,
train,crash,crossing,2010-02-13,1,
train,crash,crossing,2010-02-14,1,
train,crash,crossing,2010-02-15,1,
train,crash,crossing,2010-02-16,1,
train,crash,crossing,2010-02-17,1,
train,crash,crossing,2010-02-18,1,
train,crash,crossing,2010-02-19,1,https://www.cleveland19.com/story/12010528/rail-death-woman-killed-another-injured-while-walking-train-tracks-in-painesville/
train,crash,crossing,2010-02-20,1,
train,crash,crossing,2010-02-21,1,https://www.floridatoday.com/story/news/local/2010/02/21/second-teen-girl-identified-as-victim-of-train-that-killed/77199478/
train,crash,crossing,2010-02-22,1,https://journalstar.com/special-section/epilogue/epilogue-a-forgotten-mystery-of-death-and-destruction/article_2e0de0cc-1fc6-11df-9c5b-001cc4c002e0.html
train,crash,crossing,2010-02-23,1,https://www.palmbeachpost.com/story/news/state/2010/02/23/3-melbourne-girls-killed-by/7436395007/
train,crash,crossing,2010-02-23,1,https://www.theledger.com/story/news/2010/02/23/only-the-boy-made-it-to-safety-from-train/26251594007/
train,crash,crossing,2010-02-24,1,
train,crash,crossing,2010-02-25,1,
train,crash,crossing,2010-02-26,1,
train,crash,crossing,2010-02-27,1,
train,crash,crossing,2010-02-28,1,
train,crash,crossing,2010-03-01,1,
train,crash,crossing,2010-03-02,1,
train,crash,crossing,2010-03-03,1,
train,crash,crossing,2010-03-04,1,
train,crash,crossing,2010-03-05,1,https://www.macon.com/news/article28581151.html
train,crash,crossing,2010-03-06,1,
train,crash,crossing,2010-03-07,1,
train,crash,crossing,2010-03-08,1,
train,crash,crossing,2010-03-09,1,
train,crash,crossing,2010-03-10,1,
train,crash,crossing,2010-03-11,1,
train,crash,crossing,2010-03-12,1,https://www.ksl.com/article/9984734/2-killed-2-seriously-injured-in-trax-accident
train,crash,crossing,2010-03-13,1,
train,crash,crossing,2010-03-14,1,
train,crash,crossing,2010-03-15,1,
train,crash,crossing,2010-03-16,1,
train,crash,crossing,2010-03-17,1,
train,crash,crossing,2010-03-18,1,
train,crash,crossing,2010-03-19,1,
train,crash,crossing,2010-03-20,1,
train,crash,crossing,2010-03-21,1,
train,crash,crossing,2010-03-22,1,
train,crash,crossing,2010-03-23,1,
train,crash,crossing,2010-03-24,1,
train,crash,crossing,2010-03-25,1,
train,crash,crossing,2010-03-26,1,
