subject,action,spot,state,year,page,url
train,crash,crossing,MISSISSIPPI,2010,35,[]
train,crash,crossing,MISSISSIPPI,2011,36,[]
train,crash,crossing,MISSISSIPPI,2012,1,['https://tulsaworld.com/archive/train-crossing-deaths-are-down-but-problems-with-distracted-driving-and-impatience-persist/article_8802d2f6-1b01-5dfd-a029-171654947e43.html']
train,crash,crossing,MISSISSIPPI,2013,38,[]
train,crash,crossing,MISSISSIPPI,2014,39,[]
train,crash,crossing,MISSISSIPPI,2015,1,"['https://www.wlbt.com/story/30655526/crystal-springs-residents-concerned-about-railroad-crossing/', 'http://www.thenewsstar.com/story/news/local/2015/03/27/injuries-reported-train-wheeler-accident-ruston/70536712/', 'https://www.clarionledger.com/story/news/2015/12/02/amtrak-train-hits-truck-crystal-springs-1-injured/76670812/']"
train,crash,crossing,MISSISSIPPI,2016,41,[]
train,crash,crossing,MISSISSIPPI,2017,1,"['https://www.cbsnews.com/news/bus-train-crash-there-were-16-accidents-at-mississippi-train-crossing-over-4-decades/', 'https://abcnews.go.com/US/dead-dozens-injured-train-crashes-charter-bus-mississippi/story?id=45974714', 'https://www.dallasnews.com/news/texas/2017/03/10/families-sue-over-fatal-crash-officials-say-mississippi-railroad-crossing-not-on-texas-tour-bus-s-route/', 'https://www.nbcnews.com/news/us-news/crossing-deadly-train-bus-collision-has-history-accidents-ntsb-n730946', 'http://www.sunherald.com/news/local/traffic/article124693519.html', 'https://www.statesman.com/story/news/2017/03/09/biloxi-bus-crash-inquiry-to-focus-on-humped-crossing-route-choice/10017950007/', 'https://cbsaustin.com/news/nation-world/deadly-bus-train-wreck-spurs-call-for-safer-rail-crossings', 'https://abc13.com/biloxi-bus-crash-train-accident-rail-accidents-ntsb-statistics/1791178/', 'https://www.nytimes.com/2017/03/07/us/biloxi-mississippi-train-bus-crash.html', 'https://www.theadvocate.com/nation_world/biloxi-crash-survivor-driver-yelled-for-passengers-to-exit-bus-stuck-on-tracks/article_5d45d1d6-0521-11e7-bff4-8ff481de8d88.html']"
train,crash,crossing,MISSISSIPPI,2017,2,"['https://www.tuscaloosanews.com/story/news/state/2017/03/09/deadly-crash-in-miss-puts-railroad-crossing-under-scrutiny/21996403007/', 'https://www.wdsu.com/article/day-after-investigation-into-deadly-train-vs-bus-crash-in-biloxi-continues/9104765', 'https://cbsaustin.com/news/local/passenger-says-train-just-kept-coming-toward-bus-on-tracks', 'http://www.sunherald.com/news/local/counties/harrison-county/article137196023.html', 'https://www.nbcnews.com/news/us-news/biloxi-crash-three-killed-others-hurt-after-train-hits-charter-n730286', 'http://www.sunherald.com/news/local/traffic/article136966968.html', 'https://www.nbcnews.com/news/us-news/15-survivors-seek-250m-plus-deadly-biloxi-train-bus-crash-n741431', 'http://www.sunherald.com/news/local/traffic/article137815823.html', 'https://nypost.com/2017/03/08/body-parts-everywhere-witness-details-fatal-train-bus-crash/', 'http://www.sunherald.com/news/local/counties/harrison-county/article137195888.html']"
train,crash,crossing,MISSISSIPPI,2018,1,"['https://www.clarionledger.com/story/news/2018/08/04/report-points-lapse-key-data-mississippi-gulf-coast-bus-crash/902707002/', 'https://www.localmemphis.com/article/news/local/2-killed-after-train-hits-minivan-in-mississippi/522-56465484-24ae-4e77-88a8-6565844332a4', 'https://www.actionnews5.com/2018/12/04/dead-critical-after-marshall-county-train-crash/', 'https://www.abc10.com/article/news/nation-world/fatal-train-collision-with-bus-resulted-from-unsafe-humped-road-crossing-ntsb-says/507-581432960', 'https://abc7chicago.com/tag/train-accident/', 'https://abc7.com/tag/train-accident/', 'https://wreg.com/news/train-hits-vehicle-in-byhalia/', 'https://www.myleaderpaper.com/news/accidents/pevely-woman-crashes-into-passing-train-in-crystal-city/article_f2af8000-47fb-11e8-8d8f-a39eef41ca89.html', 'https://www.clarionledger.com/story/news/2018/04/29/amtrak-crash-miracle-child-biloxi-recalls-horror-1993-tragedy-killed-47/554139002/']"
